NBI #,Route,Place,County,FeatureIntersected,FacilityCarried,Location,Built,Reconstructed,Length,Suffrating,MaterialDesign,DesignConstruction,Status,FunctionalClass,View
1001,740,Columbia,Boone,'STADIUM UNDERPASS,'MO 740 E,'S 13 T 48 N R 13 W,1965,1979,0.9,7.79,Concrete continuous,Slab,,"Principal Arterial - Other, Urban",287400
1037,740,Columbia,Boone,'HINKSON CR,'MO 740 E,'S 19 T 48 N R 12 W,1966,2000,7.5,7.99,Steel continuous,Stringer/Multi-beam or Girder,,"Principal Arterial - Other, Urban",287479
11781,22,Prairie ,Randolph,'US 63,'MO 22 E,'S 36 T 52 N R 13 W,1999,2000,10,9.77,Steel continuous,Stringer/Multi-beam or Girder,,"Minor Arterial, Rural",287663
11846,163,Cedar ,Boone,'CLEAR CR,'MO 163 S,'S 6 T 47 N R 12 W,1999,2000,4.2,9.66,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Major Collector, Rural",287730
12380,8,Perche ,Boone,'PERCHE CR,'STIDHAM RD,'S 6 T 50 N R 13 W,1981,2000,4.6,9.1,Prestressed concrete*,Tee Beam,,"Local, Rural",288224
12382,80,Perche ,Boone,'TRIB OF PERCHE CR,'STIDHAM RD,'S 6 T 50 N R 13 W,1987,2000,0.7,8.89,Steel,Culvert (includes frame culverts),,"Local, Rural",288225
129,BB,Columbia ,Boone,'IS 70,'RT BB E,'S 7 T 48 N R 14 W,1958,2000,7.1,0.4,Concrete continuous,Slab,Structurally Deficient,"Major Collector, Rural",288636
13427,38,Perche ,Boone,'LICK FK CR,'LOCKWOOD LANE,'S 8 T 50 N R 13 W,1981,2000,2.8,9.26,Prestressed concrete*,Tee Beam,,"Local, Rural",289048
13546,41,Perche ,Boone,'SILVER FK CR,'OLD NO 7,'S 26 T 50 N R 13 W,1976,2000,2.4,8.26,Steel,Stringer/Multi-beam or Girder,,"Local, Rural",289138
13586,42,Perche ,Boone,'SILVER FK CR,'DRIPPING SPRING R,'S 27 T 50 N R 13 W,1977,2000,3.4,5,Steel,Stringer/Multi-beam or Girder,Functionally Obsolete,"Local, Rural",289171
13768,,Perche ,Boone,'REEDER CR,'RED ROCK RD,'S 28 T 50 N R 13 W,1999,2000,0.9,9.99,Steel,Culvert (includes frame culverts),,"Local, Rural",289314
14114,57,Perche ,Boone,'PERCHE CR,'BENEDICT RD,'S 29 T 50 N R 13 W,1981,2000,6,7.01,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Local, Rural",289584
14246,61,Perche ,Boone,'TRIB OF PRAIRIE CR,'DRANE RD,'S 21 T 50 N R 14 W,1984,2000,1,9.02,Steel,Stringer/Multi-beam or Girder,,"Local, Rural",289684
143,40,Columbia ,Boone,'IS 70,'US 40 E,'S 7 T 48 N R 13 W,1958,2010,8.3,6.96,Steel continuous,Stringer/Multi-beam or Girder,,"Minor Arterial, Urban",289723
14365,72,Perche ,Boone,'CALLAHAN CR,'SWERINGEN RD,'S 36 T 50 N R 14 W,1981,2000,2.5,9.4,Prestressed concrete*,Tee Beam,,"Local, Rural",289772
14415,67,Perche ,Boone,'PRAIRIE CR,'CALLAHAN CREEK RD,'S 28 T 50 N R 14 W,1981,2000,2.7,9.26,Prestressed concrete*,Tee Beam,,"Local, Rural",289815
14551,70,Perche ,Boone,'PRAIRIE CR,'RICHLAND SCHOOL R,'S 33 T 50 N R 14 W,1981,2000,3.1,9,Prestressed concrete*,Tee Beam,Functionally Obsolete,"Local, Rural",289921
14557,70,Perche ,Boone,'PRAIRIE CR,'RICHLAND SCHOOL R,'S 33 T 50 N R 14 W,1981,2000,1.1,9.26,Prestressed concrete*,Tee Beam,,"Local, Rural",289925
14702,73,Perche ,Boone,'TRIB TO CALLAHAN C,'EVERT SCHOOL RD,'S 2 T 49 N R 14 W,1984,2000,0.8,4.1,Steel,Culvert (includes frame culverts),Structurally Deficient,"Local, Rural",290050
14712,73,Perche ,Boone,'TRIB TO CALLAHAN C,'EVERT SCHOOL RD,'S 2 T 49 N R 14 W,1984,2000,0.7,8.89,Steel,Culvert (includes frame culverts),,"Local, Rural",290058
14729,74,Perche ,Boone,'CALLAHAN CR,'MEMAR RD,'S 1 T 49 N R 14 W,1981,2000,2.8,9.26,Prestressed concrete*,Tee Beam,,"Local, Rural",290069
14785,75,Perche ,Boone,'CALLAHAN CR,'WILHITE RD,'S 12 T 49 N R 14 W,1981,2000,3.1,9.4,Prestressed concrete*,Tee Beam,,"Local, Rural",290118
1496,163,Cedar ,Boone,'GANS CR,'MO 163 S,'S 7 T 47 N R 12 W,1966,2000,4.2,5.53,Steel continuous,Stringer/Multi-beam or Girder,Functionally Obsolete,"Major Collector, Rural",290269
15351,91,Perche ,Boone,'CALLAHAN CR,'BELL RD,'S 13 T 49 N R 14 W,1981,2000,2.8,8.25,Prestressed concrete*,Tee Beam,,"Local, Rural",290581
15392,,Columbia,Boone,'BEAR CR,'BLACKFOOT RD,'S 34 T 49 N R 13 W,1978,2000,1.7,8.87,Prestressed concrete*,Tee Beam,,"Local, Urban",290610
15400,,Columbia,Boone,'BEAR CR  HIKING TRAIL,'CREASY SPRINGS RD,'S 35 T 49 N R 13 W,1982,2000,1.8,7.88,Prestressed concrete*,Tee Beam,,"Local, Urban",290618
15406,,Columbia,Boone,'BEAR CR,'NORTHLAND DR,'S 31 T 49 N R 12 W,1980,2000,0.9,8.66,Concrete,Slab,,"Local, Urban",290622
15409,,Columbia,Boone,'HINKSON CR,'E WALNUT ST,'S 8 T 48 N R 12 W,1981,2000,2.8,8.94,Prestressed concrete*,Tee Beam,,"Local, Urban",290624
15413,,Columbia,Boone,'HINKSON CR,'ROCK QUARRY RD,'S 19 T 48 N R 12 W,1905,1987,5.7,9.1,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Minor Arterial, Urban",290628
15417,,Columbia,Boone,'SMALL CR,'RIDGEMONT RD,'S 22 T 48 N R 13 W,1960,2000,1,2.38,Steel,Stringer/Multi-beam or Girder,Structurally Deficient,"Local, Urban",290630
15422,,Columbia,Boone,'HOMINY BR,'ST CHARLES RD,'S 17 T 48 N R 12 W,1979,2000,1.7,7.4,Prestressed concrete*,Tee Beam,,"Local, Urban",290634
15423,,Columbia,Boone,'HOMINY BR,'GREEN VALLEY RD,'S 17 T 48 N R 12 W,1935,1987,1.9,4.76,Steel,Girder and Floorbeam System,,"Local, Urban",290635
15425,,Columbia,Boone,'FLAT BR CR,'STEWART RD,'S 13 T 48 N R 15 W,1920,1950,0.9,8.98,Steel,Stringer/Multi-beam or Girder,,"Collector, Urban",290637
15426,,Columbia,Boone,'HINKSON CR,'BUS RTE 63,'S 18 T 48 N R 12 W,1928,1986,5.8,9.66,Prestressed concrete*,Tee Beam,,"Minor Arterial, Urban",290638
15427,,Columbia,Boone,'GRINDSTONE CR,'OLD RTE 63,'S 19 T 48 N R 12 W,1925,1988,4.5,9.58,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Minor Arterial, Urban",290639
15429,,Columbia,Boone,'BEAR CR,'BLUERIDGE RD,'S 31 T 49 N R 12 W,1982,2000,2.2,8.63,Prestressed concrete*,Tee Beam,,"Collector, Urban",290641
15430,,Columbia,Boone,'COUNTY HOUSE CR,'CHAPEL HILL RD,'S 22 T 48 N R 13 W,1984,2000,2.2,8.76,Prestressed concrete*,Box Beam or Girders - Multiple,,"Minor Arterial, Urban",290643
15432,,Columbia,Boone,'MILL CR,'NIFONG BLVD,'S 25 T 48 N R 13 W,1986,2000,1.3,9.64,Concrete,Culvert (includes frame culverts),,"Minor Arterial, Urban",290645
15434,,Columbia,Boone,'MILL CR,'FORUM BLVD,'S 34 T 48 N R 13 W,1986,2000,1,6.96,Concrete,Culvert (includes frame culverts),Functionally Obsolete,"Minor Arterial, Urban",290647
15435,,Columbia,Boone,'HINKSON CR,'FORUM BLVD,'S 26 T 48 N R 13 W,1986,2000,8.4,9.51,Steel,Stringer/Multi-beam or Girder,,"Minor Arterial, Urban",290648
15436,,Columbia,Boone,'HINKSON CR,'PEABODY RD,'S 22 T 49 N R 12 W,1985,2000,3.8,9.27,Prestressed concrete*,Tee Beam,,"Local, Urban",290649
15437,,Columbia,Boone,'BEAR CR,'SMILEY LANE,'S 30 T 49 N R 12 W,1990,2000,1.9,9.89,Prestressed concrete*,Tee Beam,,"Collector, Urban",290650
15439,,Columbia,Boone,'SMALL BR,'BETHEL ST,'S 35 T 48 N R 13 W,1990,2000,1,9.77,Concrete,Culvert (includes frame culverts),,"Collector, Urban",290651
15440,,Columbia,Boone,'TRIB OF PERCHE CR,'GARDEN DR,'S 3 T 48 N R 13 W,1990,2000,0.8,9.69,Concrete,Culvert (includes frame culverts),,"Local, Urban",290653
15441,,Columbia,Boone,'FLAT BR,'ELM ST,'S 13 T 48 N R 13 W,1990,2000,0.9,8.59,Concrete,Culvert (includes frame culverts),,"Local, Urban",290654
15442,,Columbia,Boone,'MILL CR,'GLEN EAGLE RD,'S 34 T 48 N R 13 W,1988,2000,1.5,8.17,Concrete continuous,Slab,,"Local, Urban",290655
15443,,Columbia,Boone,'SMALL CR,'COLLEGE PARK DR,'S 22 T 48 N R 13 W,1994,2000,0.9,9.69,Concrete,Culvert (includes frame culverts),,"Collector, Urban",290656
15790,100,Missouri ,Boone,'BARCLAY BR,'BOOTHE LANE,'S 22 T 49 N R 14 W,1985,2000,0.8,10,Steel,Culvert (includes frame culverts),,"Local, Rural",290938
15817,101,Missouri ,Boone,'TRIB TO BARCLAY BR,'GRAHAM RD,'S 22 T 49 N R 14 W,1950,1984,0.7,7.88,Steel,Culvert (includes frame culverts),,"Local, Rural",290959
1591,163,Columbia,Boone,'HINKSON CR,'MO 163 N,'S 24 T 48 N R 13 W,1968,2000,8.3,8.38,Steel continuous,Stringer/Multi-beam or Girder,,"Principal Arterial - Other Freeways, Urban",291032
15998,106,Missouri ,Boone,'TRIB OF CALLAHAN C,'LOCUST GROVE CH R,'S 24 T 49 N R 14 W,1980,2000,0.9,9.4,Prestressed concrete*,Tee Beam,,"Local, Rural",291103
16006,106,Missouri ,Boone,'BARCLAY BR,'LOCUST GROVE CH R,'S 25 T 49 N R 14 W,1987,2000,1.9,8.07,Prestressed concrete*,Tee Beam,,"Local, Rural",291110
16018,107,Missouri ,Boone,'CALLAHAN CR,'HATTON CHAPEL RD,'S 24 T 49 N R 14 W,1981,2000,2.5,9.4,Prestressed concrete*,Tee Beam,,"Local, Rural",291119
16083,109,Perche ,Boone,'PERCHE CR,'AKEMAN BRIDGE RD,'S 16 T 49 N R 13 W,1981,2000,6.1,9.4,Prestressed concrete*,Tee Beam,,"Local, Rural",291174
16185,113,Missouri ,Boone,'LITTLES' BR,'HATTON CHAPEL RD,'S 19 T 49 N R 13 W,1981,2000,1.4,9.4,Prestressed concrete*,Tee Beam,,"Local, Rural",291245
